经度索引,纬度索引,count
34,55,511
57,60,4298
59,42,3762
62,28,19550
63,43,53464
68,42,2348227
71,37,1151816
75,51,196972
83,57,19100
85,44,435128
90,27,544
90,40,29477
93,35,9722
113,18,4801
125,7,850
28,39,32
42,8,305
78,8,4
27,68,443
49,39,1188
29,56,368
26,35,912
88,53,393
63,73,560
95,35,39
115,31,9
17,9,127
62,23,476
114,15,72
38,55,741
114,5,1274
104,72,153
37,56,15
96,63,241
60,24,165
124,8,344
89,8,54
42,6,14
88,13,43
122,35,431
99,58,644
50,67,20
116,63,21
87,63,864
103,59,76
124,24,253
121,71,27
38,76,38
19,27,70
95,15,5
118,41,20
66,18,16
25,39,1
124,77,1
34,31,10
121,78,14
104,43,10
0,13,14
47,77,13
114,50,1
87,79,5
45,36,2
7,19,1
126,12,1
60,75,10
37,66,11
6,14,37
126,36,359
39,9,4
43,82,8
78,81,6
65,42,224251
76,61,1361
78,44,9068819
83,38,5949339
84,54,98629
84,56,100054
90,51,4782
90,53,14695
92,66,4924
95,34,7884
106,22,3025
126,0,1236
28,38,85
39,68,1708
53,57,1017
62,29,40712
60,46,1232
79,20,445
101,50,129
104,63,1148
57,26,206
73,69,33
59,36,4331
92,39,18410
46,38,1151
70,19,467
35,48,1239
27,36,344
80,73,2284
47,7,162
110,40,45
21,51,33
42,55,245
29,0,90
94,51,196
101,27,79
103,24,190
3,31,6
92,23,26
39,20,42
91,18,9
89,17,29
98,50,258
58,9,7
59,62,2
51,67,5
45,52,5780
105,69,88
11,71,1
28,15,387
31,43,10
47,81,7
124,58,24
64,9,16
119,33,20
24,53,33
39,62,28
34,58,10
105,37,3
43,42,43
103,66,18
41,40,39827
54,47,22434
63,50,168384
66,7,5091
66,80,1289
69,31,1460614
71,60,26868
78,27,14619
79,41,8566858
79,55,2876
81,6,1637
81,40,9802492
88,32,57199
90,31,24163
94,28,25946
101,32,4093
26,45,43
36,27,208
52,13,4788
73,4,2166
74,7,277
55,29,2346
89,24,2327
16,21,339
121,12,1086
52,31,1272
93,39,1075
41,66,88
95,36,314
12,5,110
34,50,188
89,27,1783
57,66,322
107,68,192
128,47,293
94,26,281
42,65,1183
16,18,18
49,25,65
46,9,11
6,35,47
24,23,541
44,76,86
116,20,2
57,24,489
124,61,14
58,68,331
49,46,34
128,33,24
20,25,325
127,13,37
13,2,1
105,23,54
30,8,23
122,36,56
35,43,40
78,69,23
54,8,37
52,52,115
12,20,6
124,63,18
64,13,13
112,12,9
120,40,75
119,54,10
122,34,6
101,58,1
114,3,13
107,13,1
121,3,3
39,52,4
124,21,16
53,41,6449
62,44,20012
65,23,15018
69,16,9177
69,21,13510
70,65,17405
73,26,70371
89,45,4088
91,61,4472
93,40,18851
122,13,11060
59,34,8533
99,64,8427
92,45,661
48,17,549
64,69,335
95,43,223
66,57,915
105,6,13
117,3,1350
37,51,60
21,13,465
40,12,192
63,6,121
29,26,342
23,31,3028
96,33,176
56,60,1251
92,80,166
62,73,310
113,36,26
55,74,597
104,76,72
107,48,26
109,47,82
57,30,165
93,25,656
109,78,78
45,78,79
34,15,36
110,45,40
43,6,35
44,55,29
114,21,27
94,56,82
82,7,5220
15,3,114
44,60,8
26,65,26
11,9,23
77,73,18
58,16,8
100,16,28
74,80,3
77,79,39
12,33,2
1,14,23
112,50,4
122,20,67
19,58,1
26,8,13
9,53,2
104,3,6
39,39,17076
67,70,4314
69,58,1729
72,39,11152284
73,21,1419
73,45,5924416
76,54,83628
78,51,11444
89,57,15490
89,58,19993
96,29,27424
122,12,7240
127,6,2604
25,46,58
34,24,3704
34,72,1959
36,30,591
43,67,1789
74,1,406
75,13,1818
97,10,110
98,80,1245
104,15,1294
97,4,159
97,55,107
65,80,1292
105,8,67
