出租车ID,count
4571,72798
13492,62593
4437,53535
3090,49769
13493,46171
3030,45124
6224,44348
5699,44319
9021,43921
11189,43367
2462,42173
12145,41486
6352,41098
726,40578
5862,40132
7487,39322
6415,38226
6427,37417
7413,37110
3883,36822
7640,36527
607,36100
517,35631
14471,35132
4768,34584
4534,34127
7638,34041
3842,33892
7238,33437
292,33271
450,33072
4004,32966
4449,32771
5859,32464
4558,32463
10822,32333
8994,32233
9163,32056
430,31940
6526,31747
4222,31717
7554,31704
9520,31616
7171,31047
3173,30799
9302,30615
12824,30431
6235,30383
6221,30355
8884,29666
1842,29395
7242,29387
4445,29366
254,29059
11479,28709
2760,28566
12693,28481
8321,28480
7409,28449
8438,28398
3880,28257
3195,28241
3201,28120
9413,28109
10972,28034
12050,28018
6460,27993
6814,27904
1905,27902
8202,27901
4195,27780
336,27769
3898,27741
11257,27629
8197,27623
13373,27611
11152,27481
2831,27480
2793,27444
2743,27393
8719,27351
8912,27250
13129,27212
11341,27170
6215,27167
803,27155
8598,27144
3722,27114
3866,27069
9105,27058
4416,27040
482,27032
538,26986
7214,26963
7862,26958
12524,26948
6856,26943
12140,26911
7534,26878
3031,26867
9971,26778
12359,26773
8635,26772
13592,26758
4173,26741
3550,26690
12353,26677
6047,26599
10291,26565
12078,26532
574,26475
12211,26474
33,26451
11404,26436
5891,26399
4659,26384
11877,26376
7912,26374
8627,26368
11207,26347
9725,26335
12820,26335
10433,26322
8372,26319
1302,26286
6309,26264
6523,26262
5812,26223
2344,26222
2982,26198
7366,26188
5311,26178
9357,26177
1116,26145
10609,26138
2227,26131
4487,26118
4359,26068
8408,26061
528,26030
2883,26022
1414,25983
257,25961
8850,25959
7291,25923
6094,25921
4573,25918
7694,25854
488,25831
11675,25831
8807,25806
9447,25799
4674,25796
8271,25795
12596,25784
13407,25765
4006,25742
3017,25713
296,25646
7215,25624
3286,25607
4444,25606
13941,25584
11447,25566
4315,25553
3588,25506
12409,25496
4955,25458
13447,25447
2923,25446
9578,25399
11484,25371
2889,25355
7222,25351
279,25344
2859,25339
562,25323
10368,25315
12876,25315
9808,25306
7962,25301
7889,25274
9448,25269
9793,25268
695,25259
5265,25234
7153,25234
11036,25223
6391,25201
2117,25201
629,25191
10603,25177
12399,25176
3707,25152
2190,25140
2696,25133
